StationNumber,HourOfDay,Avg_Free_Bici,Avg_Free_Stand
1,0,3.99836867862969,20.58238172920065
1,1,3.9846153846153847,20.622222222222224
1,2,3.812880765883377,20.79373368146214
1,3,3.667536988685814,20.93994778067885
1,4,3.2475386779184245,21.42686357243319
1,5,4.07306338028169,20.532570422535212
1,6,4.178984861976848,20.424755120213714
1,7,4.5488126649076515,20.063324538258573
1,8,5.096153846153846,19.541083916083917
1,9,6.598333333333334,18.0275
1,10,6.644939965694682,18.064322469982848
1,11,3.352916839056682,21.507654116673564
1,12,6.465765004226543,18.259509721048182
1,13,4.142801556420234,20.694941634241246
1,14,4.483599663582843,20.214465937762824
1,15,4.6199324324324325,19.991554054054053
1,16,5.298157453936349,19.314070351758794
1,17,1.4073826624352763,23.554701854017036
1,18,4.756542426645519,19.88739095955591
1,19,3.6955201214882307,20.968109339407746
1,20,3.9212531752751905,20.708721422523286
1,21,3.9725585149313964,20.66585956416465
1,22,4.3174872665534805,20.31748726655348
1,23,4.259067357512953,20.360103626943005
2,0,5.2039151712887435,9.743066884176182
2,1,4.907692307692308,10.04017094017094
2,2,4.312445604873803,10.63272410791993
2,3,3.8059181897302,11.145343777197564
2,4,3.3959212376933894,11.565400843881857
2,5,3.3609154929577465,11.592429577464788
2,6,3.219946571682992,11.731967943009796
2,7,3.040457343887423,11.913808267370273
2,8,2.9423076923076925,12.021853146853147
2,9,3.2825,11.6925
2,10,3.225557461406518,11.748713550600343
2,11,4.270583367811336,10.715763342987174
2,12,3.8402366863905324,11.131868131868131
2,13,2.409338521400778,12.577821011673151
2,14,3.739276703111859,11.229604709840201
2,15,3.2964527027027026,11.669763513513514
2,16,3.472361809045226,11.491624790619765
2,17,5.810422582261567,9.184483046600969
2,18,4.790642347343378,10.157018239492466
2,19,5.066059225512529,9.878511769172361
2,20,5.814563928873835,9.118543607112617
2,21,5.761904761904762,9.181598062953995
2,22,5.923599320882852,9.017826825127335
2,23,5.920552677029361,9.022452504317789
3,0,5.246329526916803,14.641109298531811
3,1,3.764102564102564,16.123931623931625
3,2,2.907745865970409,16.98781549173194
3,3,2.2410791993037424,17.65709312445605
3,4,1.6624472573839661,18.258087201125175
3,5,1.7737676056338028,18.128521126760564
3,6,2.1095280498664293,17.789848619768478
3,7,2.8408091468777483,17.063324538258573
3,8,2.054195804195804,17.86451048951049
3,9,4.364166666666667,15.545
3,10,3.7847341337907374,16.133790737564322
3,11,2.339677285891601,17.624741414977244
3,12,3.558748943364328,16.376162299239223
3,13,3.7906614785992216,16.15953307392996
3,14,3.5458368376787215,16.38099243061396
3,15,3.7787162162162162,16.14189189189189
3,16,3.4958123953098825,16.418760469011726
3,17,3.006096542508769,16.9853014865542
3,18,3.803330689928628,16.124504361617763
3,19,4.446469248291572,15.365983295368261
3,20,4.861134631668078,15.043183742591024
3,21,5.862792574656981,14.040355125100888
3,22,6.922750424448218,12.971137521222412
3,23,6.8402417962003454,13.044041450777202
4,0,1.6598694942903751,21.448613376835237
