,Number,Direction,Active,Free_bici,Free_stand,Total_stands,Ticket,Update_date,Latitude,Longitude,Folder_datetime
42,43,Escultor José Capuz - Oriente,1,19,0,20,0,2025-04-30 23:50:05,39.459477276259406,-0.3611533458364356,2025-05-01 00:00:25
43,44,General Urrutia - Av. de la Plata,1,2,17,19,0,2025-04-30 23:50:05,39.45642926768604,-0.3630143545257616,2025-05-01 00:00:25
44,45,Hermanos Maristas - General Urrutia,1,8,5,15,0,2025-04-30 23:50:05,39.45381925759081,-0.3618553529234309,2025-05-01 00:00:25
45,46,Pintor Luis Arcas - Inst. Obrero Valenciano,1,12,8,20,0,2025-04-30 23:50:05,39.455509261762266,-0.3587873408716088,2025-05-01 00:00:25
46,47,Autopista del Saler - Puente Monteolivete,1,11,8,20,0,2025-04-30 23:50:05,39.45651226440267,-0.3554183288036281,2025-05-01 00:00:25
47,48,Antonio Ferrandis - General Urrutia,1,3,17,20,0,2025-04-30 23:50:05,39.450807354184086,-0.3585527382322896,2025-05-01 00:00:25
48,49,Ricardo Muñoz Suay - María José Victoria Fuster (C.C. El Saler),1,0,25,25,0,2025-04-30 23:50:05,39.45298693239739,-0.3571104198826364,2025-05-01 00:00:25
49,50,Autopista del Saler - Antonio Ferrandis (C.C. El Saler),1,16,24,40,0,2025-04-30 23:50:05,39.453318252515686,-0.3528593228128155,2025-05-01 00:00:25
50,51,Moreras (Oceanográfico),1,1,19,20,0,2025-04-30 23:50:05,39.45218324552497,-0.3472273049060467,2025-05-01 00:00:25
51,52,Luis García Berlanga Martí - Menorca,1,14,11,25,0,2025-04-30 23:50:05,39.45603425797373,-0.3463402980947426,2025-05-01 00:00:25
52,53,Alameda - Pintor Maella,1,20,5,25,0,2025-04-30 23:50:05,39.45676426141678,-0.3481393040048007,2025-05-01 00:00:25
53,54,Plaza de Europa,1,19,1,20,0,2025-04-30 23:50:05,39.459778273617445,-0.3526903171951741,2025-05-01 00:00:25
54,55,Francia - Pintor Maella,1,24,1,25,0,2025-04-30 23:50:05,39.45934326975421,-0.3486863041159564,2025-05-01 00:00:25
55,56,Francia - Menorca,1,0,15,15,0,2025-04-30 23:50:05,39.45842126509135,-0.3444052893928658,2025-05-01 00:00:25
56,57,Alameda - Pintor Monleón,1,7,12,20,0,2025-04-30 23:50:05,39.46447629179199,-0.3582563324315247,2025-05-01 00:00:25
57,58,Plaza España,1,13,7,20,0,2025-04-30 23:50:05,39.46621830848607,-0.3815864106638383,2025-05-01 00:00:25
58,59,Baleares - Río Escalona,1,14,0,15,0,2025-04-30 23:50:05,39.463088285667624,-0.3545493213542055,2025-05-01 00:00:25
59,60,Baleares - Lebón,1,19,0,19,0,2025-04-30 23:50:05,39.46223128102797,-0.3517763125261459,2025-05-01 00:00:25
60,61,Vicent Vidal - Pintor Maella,1,19,1,20,0,2025-04-30 23:50:05,39.46129327599964,-0.3478302988674309,2025-05-01 00:00:25
61,62,Menorca - Baleares,1,20,0,20,0,2025-04-30 23:50:05,39.45981126842254,-0.3421522812931475,2025-05-01 00:00:25
62,63,Av Puerto 19 (Telefónica),1,4,14,20,0,2025-04-30 23:50:05,39.46777930285978,-0.358414330727018,2025-05-01 00:00:25
63,64,Av. Puerto 61-63,1,20,0,20,0,2025-04-30 23:50:05,39.46651829706714,-0.3541953172495928,2025-05-01 00:00:25
64,65,Av. Puerto - Doctor Manuel Candela,1,19,0,19,0,2025-04-30 23:50:05,39.465516292011046,-0.3508373061951808,2025-05-01 00:00:25
65,66,Guillem de Anglesola - Av. Puerto,1,24,1,25,0,2025-04-30 23:50:05,39.46427128532339,-0.3462612916525901,2025-05-01 00:00:25
66,67,Juan Verdeguer - Toneleros,1,13,0,14,0,2025-04-30 23:50:05,39.45886026320377,-0.3367982630402228,2025-05-01 00:00:25
