Direction,Number,Active,Free_bici,Free_stand,Total_stands,Ticket,Update_date,Latitude,Longitude,Folder_datetime
Ribera - Plaza Ayuntamiento,15,1,15,2,34,0,2025-04-30 23:39:59,39.46908831533384,-0.3756373880434071,2025-04-30 23:45:04
Ribera - Plaza Ayuntamiento,15,1,15,2,34,0,2025-04-30 23:19:46,39.46908831533384,-0.3756373880434071,2025-04-30 23:30:06
"Colón, 60",16,1,2,18,20,0,2025-04-30 23:50:05,39.470092316192336,-0.3704333693720587,2025-05-01 00:00:25
"Colón, 60",16,1,2,18,20,0,2025-04-30 23:39:59,39.470092316192336,-0.3704333693720587,2025-04-30 23:45:04
"Colón, 60",16,1,1,19,20,0,2025-04-30 23:19:46,39.470092316192336,-0.3704333693720587,2025-04-30 23:30:06
Xátiva - Bailén (Estación del Norte),17,1,0,30,30,0,2025-04-30 23:50:05,39.46746831099193,-0.3772593951806123,2025-05-01 00:00:25
Xátiva - Bailén (Estación del Norte),17,1,0,30,30,0,2025-04-30 23:39:59,39.46746831099193,-0.3772593951806123,2025-04-30 23:45:04
Xátiva - Bailén (Estación del Norte),17,1,1,29,30,0,2025-04-30 23:19:46,39.46746831099193,-0.3772593951806123,2025-04-30 23:30:06
Colón 20-22,18,1,5,19,24,0,2025-04-30 23:50:05,39.468191311513856,-0.3731293798737345,2025-05-01 00:00:25
Colón 20-22,18,1,4,20,24,0,2025-04-30 23:39:59,39.468191311513856,-0.3731293798737345,2025-04-30 23:45:04
Colón 20-22,18,1,4,20,24,0,2025-04-30 23:19:46,39.468191311513856,-0.3731293798737345,2025-04-30 23:30:06
Juan Llorens - Quart,19,1,3,12,15,0,2025-04-30 23:50:05,39.47436934054566,-0.391590438798602,2025-05-01 00:00:25
Juan Llorens - Quart,19,1,2,13,15,0,2025-04-30 23:39:59,39.47436934054566,-0.391590438798602,2025-04-30 23:45:04
Juan Llorens - Quart,19,1,2,13,15,0,2025-04-30 23:19:46,39.47436934054566,-0.391590438798602,2025-04-30 23:30:06
Quart - Fernando el Católico,20,1,5,11,16,0,2025-04-30 23:50:05,39.47503434099054,-0.3878474253260651,2025-05-01 00:00:25
Quart - Fernando el Católico,20,1,4,12,16,0,2025-04-30 23:39:59,39.47503434099054,-0.3878474253260651,2025-04-30 23:45:04
Quart - Fernando el Católico,20,1,3,13,16,0,2025-04-30 23:19:46,39.47503434099054,-0.3878474253260651,2025-04-30 23:30:06
Juan Llorens - Literato Gabriel Miró,21,1,2,14,16,0,2025-04-30 23:50:05,39.4723713328859,-0.3902144354049112,2025-05-01 00:00:25
Juan Llorens - Literato Gabriel Miró,21,1,3,13,16,0,2025-04-30 23:39:59,39.4723713328859,-0.3902144354049112,2025-04-30 23:45:04
Juan Llorens - Literato Gabriel Miró,21,1,3,13,16,0,2025-04-30 23:19:46,39.4723713328859,-0.3902144354049112,2025-04-30 23:30:06
Angel Guimerá - Juan Llorens,22,1,3,12,15,0,2025-04-30 23:50:05,39.46978732404922,-0.3883534313205414,2025-05-01 00:00:25
Angel Guimerá - Juan Llorens,22,1,3,12,15,0,2025-04-30 23:39:59,39.46978732404922,-0.3883534313205414,2025-04-30 23:45:04
