StationNumber,Weekday,HourOfDay,Avg_Free_Bici,Avg_Free_Stand
1,Wednesday,1,4.160493827160494,20.62962962962963
1,Wednesday,2,4.097560975609756,20.682926829268293
1,Wednesday,3,3.902439024390244,20.884146341463413
1,Wednesday,4,3.6666666666666665,21.091954022988507
1,Wednesday,5,4.564417177914111,20.257668711656443
1,Wednesday,6,4.751592356687898,20.076433121019107
1,Wednesday,7,4.62111801242236,20.18633540372671
1,Wednesday,8,5.981481481481482,18.833333333333332
1,Wednesday,9,9.747524752475247,15.009900990099009
1,Wednesday,10,9.533742331288343,15.245398773006135
1,Wednesday,11,8.41566265060241,16.35542168674699
1,Wednesday,12,7.325581395348837,17.41860465116279
1,Wednesday,13,2.5501336898395723,22.415775401069517
1,Wednesday,14,5.406060606060606,19.29090909090909
1,Wednesday,15,5.419161676646707,19.25748502994012
1,Wednesday,16,6.323353293413174,18.34131736526946
1,Wednesday,17,6.784810126582278,17.89873417721519
1,Wednesday,18,4.595652173913043,20.16521739130435
1,Wednesday,19,3.89375,20.75625
1,Wednesday,20,3.19375,21.45625
1,Wednesday,21,2.6459627329192545,22.024844720496894
1,Wednesday,22,3.292682926829268,21.359756097560975
1,Wednesday,23,3.5253164556962027,21.09493670886076
1,Thursday,0,3.4906832298136647,21.13664596273292
1,Thursday,1,3.40251572327044,21.22641509433962
1,Thursday,2,3.4125,21.2375
1,Thursday,3,3.39375,21.2625
1,Thursday,4,3.45625,21.21875
1,Thursday,5,3.91875,20.75625
1,Thursday,6,4.169811320754717,20.50314465408805
1,Thursday,7,4.880503144654088,19.79245283018868
1,Thursday,8,5.308641975308642,19.382716049382715
1,Thursday,9,6.427710843373494,18.228915662650603
1,Thursday,10,6.736526946107785,17.934131736526947
1,Thursday,11,0.9391796322489392,24.019801980198018
1,Thursday,12,7.028409090909091,17.698863636363637
1,Thursday,13,8.234741784037558,16.220657276995304
1,Thursday,14,4.203488372093023,20.598837209302324
1,Thursday,15,4.414201183431953,19.78698224852071
1,Thursday,16,5.417142857142857,18.82857142857143
1,Thursday,17,5.264705882352941,18.958823529411763
1,Thursday,18,5.674418604651163,18.587209302325583
1,Thursday,19,4.415204678362573,19.859649122807017
1,Thursday,20,3.8313953488372094,20.436046511627907
1,Thursday,21,3.738372093023256,20.523255813953487
1,Thursday,22,4.106508875739645,20.171597633136095
1,Thursday,23,3.9411764705882355,20.33529411764706
1,Friday,0,3.1511627906976742,21.08139534883721
1,Friday,1,3.5174418604651163,20.697674418604652
1,Friday,2,3.563953488372093,20.6453488372093
1,Friday,3,3.6023391812865495,20.608187134502923
1,Friday,4,3.607476635514019,20.752336448598133
1,Friday,5,4.1375,20.025
1,Friday,6,4.345911949685535,19.81761006289308
1,Friday,7,4.863354037267081,19.335403726708076
1,Friday,8,5.628048780487805,18.591463414634145
1,Friday,9,6.325443786982248,17.91715976331361
1,Friday,10,6.830409356725146,17.432748538011698
1,Friday,11,6.41764705882353,17.86470588235294
1,Friday,12,6.252941176470588,18.041176470588237
1,Friday,13,6.233918128654971,18.04093567251462
1,Friday,14,4.8023255813953485,19.453488372093023
1,Friday,15,4.563953488372093,19.680232558139537
1,Friday,16,5.144508670520231,19.09248554913295
1,Friday,17,4.711764705882353,19.511764705882353
1,Friday,18,4.296511627906977,19.959302325581394
1,Friday,19,4.587209302325581,19.674418604651162
1,Friday,20,4.441860465116279,19.825581395348838
1,Friday,21,4.645348837209302,19.61046511627907
1,Friday,22,5.337209302325581,18.8953488372093
1,Friday,23,5.449101796407185,18.75449101796407
1,Saturday,0,4.640186915887851,19.49532710280374
1,Saturday,1,4.7875,19.3875
1,Saturday,2,4.735849056603773,19.433962264150942
1,Saturday,3,4.660377358490566,19.50943396226415
1,Saturday,4,4.577639751552795,19.60248447204969
1,Saturday,5,5.203703703703703,18.98148148148148
1,Saturday,6,4.980891719745223,19.203821656050955
1,Saturday,7,5.125,19.1
1,Saturday,8,4.30625,19.91875
1,Saturday,9,4.50625,19.71875
1,Saturday,10,4.7,20.1375
1,Saturday,11,4.85625,19.99375
1,Saturday,12,4.5875,20.2875
1,Saturday,13,4.049382716049383,20.82716049382716
1,Saturday,14,3.8902439024390243,20.95731707317073
1,Saturday,15,4.226993865030675,20.595092024539877
1,Saturday,16,3.9938650306748467,20.85276073619632
1,Saturday,17,3.5853658536585367,21.26829268292683
1,Saturday,18,3.25,21.603658536585368
1,Saturday,19,3.402439024390244,21.4390243902439
1,Saturday,20,4.390243902439025,20.451219512195124
1,Saturday,21,5.396341463414634,19.45731707317073
1,Saturday,22,5.406060606060606,19.44848484848485
1,Saturday,23,5.375796178343949,19.45859872611465
1,Sunday,0,5.555555555555555,19.28654970760234
1,Sunday,1,4.912790697674419,19.924418604651162
1,Sunday,2,3.82,21.046666666666667
1,Sunday,3,3.357142857142857,21.51948051948052
1,Sunday,4,1.89010989010989,23.043956043956044
1,Sunday,5,2.9793103448275864,21.855172413793102
1,Sunday,6,3.1125827814569536,21.728476821192054
1,Sunday,7,3.1233766233766236,21.72077922077922
1,Sunday,8,3.3051948051948052,21.545454545454547
1,Sunday,9,3.6037735849056602,21.238993710691823
1,Sunday,10,3.9627329192546585,20.888198757763973
1,Sunday,11,4.4625,20.3875
1,Sunday,12,5.22289156626506,19.626506024096386
1,Sunday,13,5.094674556213017,19.733727810650887
1,Sunday,14,4.549707602339181,20.216374269005847
1,Sunday,15,4.104651162790698,20.66860465116279
1,Sunday,16,4.3895348837209305,20.36627906976744
1,Sunday,17,4.241176470588235,20.523529411764706
1,Sunday,18,4.807017543859649,19.970760233918128
1,Sunday,19,4.810650887573964,19.988165680473372
1,Sunday,20,4.85207100591716,19.93491124260355
1,Sunday,21,5.271676300578035,19.508670520231213
1,Sunday,22,5.116279069767442,19.674418604651162
1,Sunday,23,4.650887573964497,20.13609467455621
2,Monday,0,6.515337423312883,8.43558282208589
2,Monday,1,6.378048780487805,8.573170731707316
2,Monday,2,6.060975609756097,8.890243902439025
2,Monday,3,5.798780487804878,9.152439024390244
2,Monday,4,5.344827586206897,9.614942528735632
2,Monday,5,5.2926829268292686,9.682926829268293
2,Monday,6,5.110429447852761,9.846625766871165
2,Monday,7,4.319277108433735,10.656626506024097
2,Monday,8,3.4518072289156625,11.518072289156626
2,Monday,9,3.9404761904761907,11.035714285714286
2,Monday,10,3.4790419161676644,11.497005988023952
2,Monday,11,3.6646706586826348,11.311377245508982
2,Monday,12,3.397590361445783,11.572289156626505
2,Monday,13,3.5209580838323356,11.449101796407186
2,Monday,14,3.3452380952380953,11.625
2,Monday,15,2.55688622754491,12.419161676646707
2,Monday,16,2.6964285714285716,12.279761904761905
2,Monday,17,3.1124260355029585,11.840236686390533
2,Monday,18,2.971590909090909,12.0
2,Monday,19,2.511182108626198,12.46964856230032
2,Monday,20,3.2339181286549707,11.695906432748538
2,Monday,21,3.1965317919075145,11.757225433526012
2,Monday,22,3.6407185628742513,11.311377245508982
2,Monday,23,4.359281437125748,10.592814371257486
2,Tuesday,0,4.411111111111111,10.544444444444444
2,Tuesday,1,4.0220994475138125,10.917127071823204
2,Tuesday,2,3.811111111111111,11.133333333333333
2,Tuesday,3,3.7005649717514126,11.254237288135593
